BANK_NAME,STATE,VARIABLE_NAME,VALUE,UNIT,DATE
Bank of Lincoln County,TN,Total Assets,220051000.00000000000,USD,2025-03-31
Bank of Lindsay,NE,Total Assets,92987000.00000000000,USD,2025-03-31
Bank of Little Rock,AR,Total Assets,306200000.00000000000,USD,2025-03-31
Bank of Louisiana,LA,Total Assets,99041000.00000000000,USD,2025-03-31
Bank of Lumber City,GA,Total Assets,25356000.00000000000,USD,2025-03-31
Bank of Luxemburg,WI,Total Assets,675070000.00000000000,USD,2025-03-31
Bank of Madison,GA,Total Assets,432028000.00000000000,USD,2025-03-31
Bank of Maple Plain,MN,Total Assets,86566000.00000000000,USD,2025-03-31
Bank of Marin,CA,Total Assets,3783907000.00000000000,USD,2025-03-31
Bank of Mauston,WI,Total Assets,395729000.00000000000,USD,2025-03-31
Bank of Maysville,KY,Total Assets,166246000.00000000000,USD,2025-03-31
